timestamp,county,callsign
2025-10-18 1407,SCU,W0CN
2025-10-18 1407,NIA,VE3TM
2025-10-18 1407,ORL,VE3TM
2025-10-18 1407,CHA,VE3YT
2025-10-18 1407,NIA,VE3NFN
2025-10-18 1407,MON,VE3AQ
2025-10-18 1407,SCU,VE3AQ
2025-10-18 1407,STE,OM2VL
2025-10-18 1407,YAT,OM2VL
2025-10-18 1407,ERI,OM2VL
2025-10-18 1407,SCU,VE3DQN
2025-10-18 1407,ERI,NQ2W
2025-10-18 1407,ERI,NN2L
2025-10-18 1407,DUT,NQ2U
2025-10-18 1407,NIA,NM2A
2025-10-18 1407,ORL,NM2A
2025-10-18 1407,ERI,N6DE
2025-10-18 1407,SCU,N6MU
2025-10-18 1407,COL,N3KTA
2025-10-18 1407,DUT,N3RF
2025-10-18 1407,NAS,N3RF
2025-10-18 1407,MON,N4IU
2025-10-18 1407,ALB,N2Y
2025-10-18 1407,ALB,N2Y
2025-10-18 1407,ONO,N3AM
2025-10-18 1407,ORA,N3AM
2025-10-18 1407,DUT,N2PYH
2025-10-18 1407,RIC,N2MF
2025-10-18 1407,FRA,N2JJ
2025-10-18 1407,FRA,N2JJ
2025-10-18 1407,ALB,N2CU
2025-10-18 1407,ALB,N2CU
2025-10-18 1407,CAT,N1IBM
2025-10-18 1407,ERI,KX2NY
2025-10-18 1407,NIA,KR2AA
2025-10-18 1407,ONO,KR2AA
2025-10-18 1407,WAR,KQ4R
2025-10-18 1407,ONO,KR4AE
2025-10-18 1407,ORA,KR4AE
2025-10-18 1407,DUT,KN6VTC
2025-10-18 1407,STL,KQ3F
2025-10-18 1407,ORA,KM2O
2025-10-18 1407,OSW,KE2EGF
2025-10-18 1407,REN,KE2EGF
2025-10-18 1407,ERI,KB2TDT
2025-10-18 1407,SAR,K9PW
2025-10-18 1407,ONO,K9CW
2025-10-18 1407,ONO,K9CW
2025-10-18 1407,NIA,K9CW
2025-10-18 1407,ESS,K4RUM
2025-10-18 1407,ORA,K4QQG
2025-10-18 1407,ORA,K4FTO
2025-10-18 1407,ONO,K4FTO
2025-10-18 1407,SEN,K3RJS
2025-10-18 1407,NIA,K2SSS
2025-10-18 1407,SUF,K3GHH/2
2025-10-18 1407,RIC,K2QB
2025-10-18 1407,OTS,K3QP
2025-10-18 1407,ALB,K3QP
2025-10-18 1407,SCU,AA3R
2025-10-18 1407,MON,AA0FO
2025-10-18 1407,SUF,AJ4LN
2025-10-18 1407,REN,W2E
2025-10-18 1407,MON,W2E
2025-10-18 1407,REN,W2E/WB2ELW
2025-10-18 1407,MON,W2E/WB2ELW
2025-10-18 1407,OSW,K2Q
2025-10-18 1407,OSW,K2Q
2025-10-18 1407,OSW,K2QO
2025-10-18 1407,OSW,K2QO
2025-10-18 1407,ONT,AB3CX
2025-10-18 1408,ALB,WB2PJH
2025-10-18 1408,OTS,WB2JLR
2025-10-18 1408,MON,W9QL
2025-10-18 1408,SUF,W9DC
2025-10-18 1408,ALB,W4YE
2025-10-18 1408,SAR,W2TB
2025-10-18 1408,ORA,W5TM
2025-10-18 1408,RIC,W2TZ
2025-10-18 1408,SCU,W2VM
2025-10-18 1408,NIA,W2VM
2025-10-18 1408,REN,W2PJ
2025-10-18 1408,CAT,W2HMT
2025-10-18 1408,NIA,W2GDJ
2025-10-18 1408,DUT,W2GDJ
2025-10-18 1408,MON,W2GR
2025-10-18 1408,ONO,W1FM
2025-10-18 1408,ORA,W0ZQ
2025-10-18 1408,ROC,W0ZQ
2025-10-18 1408,ERI,W0ELT
2025-10-18 1408,SCU,VE3TM
2025-10-18 1408,CAT,VE3YT
2025-10-18 1408,ERI,VE3YT
2025-10-18 1408,ONO,VE3NFN
2025-10-18 1408,ERI,VE3AQ
2025-10-18 1408,CHA,VE3DQN
2025-10-18 1408,CAT,VE3DQN
2025-10-18 1408,SUF,NY2A
2025-10-18 1408,NIA,NQ2W
2025-10-18 1408,SAR,N9MS
2025-10-18 1408,NIA,NM2A
2025-10-18 1408,ORA,N8MD
2025-10-18 1408,ROC,N8MD
2025-10-18 1408,STL,N8II
2025-10-18 1408,OSW,N8II
2025-10-18 1408,STE,N5KW
2025-10-18 1408,CHE,N3KTA
2025-10-18 1408,STE,N6YU
2025-10-18 1408,SUF,N3KI
2025-10-18 1408,SUF,N2PP
2025-10-18 1408,SAR,N3AM
2025-10-18 1408,ERI,N3AM
2025-10-18 1408,OTS,N2T
2025-10-18 1408,SUF,N2MF
2025-10-18 1408,SUF,N2NC
2025-10-18 1408,RIC,N2RC
2025-10-18 1408,MTG,N2RC
2025-10-18 1408,FRA,N0LY
2025-10-18 1408,WAR,KX2NY
2025-10-18 1408,ORA,KR2AA
2025-10-18 1408,STE,KR2AA
2025-10-18 1408,ROC,KM2O
2025-10-18 1408,DEL,KC2MBV
2025-10-18 1408,SUF,KC2KDD
2025-10-18 1408,SUF,KC1QEM
2025-10-18 1408,ESS,K9CW
2025-10-18 1408,ONO,K8MR
2025-10-18 1408,NIA,K8MR
2025-10-18 1408,STE,K5CM
2025-10-18 1408,ONO,K4RUM
2025-10-18 1408,ONO,K4RUM
2025-10-18 1408,ROC,K4QQG
2025-10-18 1408,WAR,K2ZR
2025-10-18 1408,ALB,K2SSS
2025-10-18 1408,ERI,K2XA
2025-10-18 1408,ONO,K2EP
2025-10-18 1408,ALB,K2MN
2025-10-18 1408,WAR,K3QP
2025-10-18 1408,SAR,K0UU
2025-10-18 1408,ORA,K1BZ
2025-10-18 1408,SCU,AA3R
2025-10-18 1408,MON,EA3NO
2025-10-18 1408,ERI,W2E
2025-10-18 1408,ERI,W2E/WB2ELW
2025-10-18 1408,NIA,AD2TM
2025-10-18 1408,SCU,AB3CX
2025-10-18 1409,SUF,WW2Y
2025-10-18 1409,YAT,WD8RYC
2025-10-18 1409,SCU,WB9HFK
2025-10-18 1409,ERI,WB2AMN
2025-10-18 1409,NIA,W9QL
2025-10-18 1409,ORL,W9QL
2025-10-18 1409,CHA,W9QL
2025-10-18 1409,CAT,W9QL
2025-10-18 1409,SCO,WA2GOT
2025-10-18 1409,ORA,WA0MHJ
2025-10-18 1409,ONO,W8HCG
2025-10-18 1409,WAR,W4YE
2025-10-18 1409,SCU,W4ZGR
2025-10-18 1409,ULS,W5TM
2025-10-18 1409,WAR,W5TM
2025-10-18 1409,SUF,W2TZ
2025-10-18 1409,WAR,W2VM
2025-10-18 1409,MON,W2QCY
2025-10-18 1409,SAR,W2KYM
2025-10-18 1409,OSW,W2GR
2025-10-18 1409,ESS,W1FM
